Frame,Prediction,Confidence,FPS
1,non-crocodile,0.7732,0.72
2,non-crocodile,0.798,0.92
3,non-crocodile,0.8424,0.95
4,non-crocodile,0.8762,0.95
5,non-crocodile,0.8933,0.94
6,non-crocodile,0.8984,0.91
7,non-crocodile,0.9106,0.9
8,non-crocodile,0.9485,0.9
9,non-crocodile,0.9632,0.93
10,non-crocodile,0.9694,0.93
11,non-crocodile,0.9714,0.82
12,non-crocodile,0.9707,0.91
13,non-crocodile,0.9761,0.86
14,non-crocodile,0.9851,0.89
15,non-crocodile,0.9884,0.8
16,non-crocodile,0.9869,0.91
17,non-crocodile,0.9839,0.88
18,non-crocodile,0.9827,0.88
19,non-crocodile,0.9773,0.83
20,non-crocodile,0.9685,0.79
21,non-crocodile,0.9461,0.94
22,non-crocodile,0.9235,0.9
23,non-crocodile,0.9217,0.82
24,non-crocodile,0.8879,0.9
25,non-crocodile,0.8752,0.77
26,non-crocodile,0.8729,0.78
27,non-crocodile,0.8709,0.75
28,non-crocodile,0.887,0.72
29,non-crocodile,0.8864,0.89
30,non-crocodile,0.8879,0.86
31,non-crocodile,0.8946,0.84
32,non-crocodile,0.9192,0.91
33,non-crocodile,0.9196,0.95
34,non-crocodile,0.9213,0.89
35,non-crocodile,0.9221,0.91
36,non-crocodile,0.9321,0.82
37,non-crocodile,0.9324,0.95
38,non-crocodile,0.9313,0.94
39,non-crocodile,0.9193,0.93
40,non-crocodile,0.9217,0.91
41,non-crocodile,0.9216,0.92
42,non-crocodile,0.9211,0.75
43,non-crocodile,0.9209,0.96
44,non-crocodile,0.9208,0.91
45,non-crocodile,0.9207,0.92
46,non-crocodile,0.921,0.91
47,non-crocodile,0.9212,0.83
48,non-crocodile,0.921,0.95
49,non-crocodile,0.9217,0.88
50,non-crocodile,0.9215,0.93
51,crocodile,0.9228,0.9
52,crocodile,0.9074,0.74
53,crocodile,0.9191,0.94
54,crocodile,0.9146,0.85
55,crocodile,0.914,0.72
56,crocodile,0.9101,0.93
57,crocodile,0.9177,0.9
58,crocodile,0.9093,0.9
59,crocodile,0.9067,0.81
60,crocodile,0.8938,0.91
61,crocodile,0.8896,0.9
62,crocodile,0.8877,0.84
63,crocodile,0.8765,0.73
64,crocodile,0.8836,0.87
65,crocodile,0.8894,0.9
66,crocodile,0.8772,0.89
67,crocodile,0.8784,0.87
68,crocodile,0.881,0.77
69,crocodile,0.8775,0.94
70,crocodile,0.8726,0.9
71,crocodile,0.8704,0.9
72,crocodile,0.8338,0.9
73,crocodile,0.8038,0.83
74,crocodile,0.7898,0.89
75,crocodile,0.7714,0.9
76,crocodile,0.8062,0.88
77,crocodile,0.8455,0.74
78,crocodile,0.8149,0.93
79,crocodile,0.851,0.87
80,crocodile,0.8685,0.76
81,crocodile,0.8748,0.93
82,crocodile,0.8721,0.9
83,crocodile,0.8064,0.82
84,crocodile,0.7798,0.86
85,crocodile,0.8738,0.91
86,crocodile,0.9168,0.93
87,crocodile,0.8636,0.92
88,crocodile,0.8798,0.9
89,crocodile,0.9076,0.89
90,crocodile,0.936,0.89
91,crocodile,0.9383,0.91
92,crocodile,0.9259,0.9
93,crocodile,0.9192,0.73
94,crocodile,0.9392,0.88
95,crocodile,0.9163,0.8
96,crocodile,0.9314,0.76
97,crocodile,0.9294,0.84
98,crocodile,0.9347,0.71
99,crocodile,0.922,0.87
100,crocodile,0.9075,0.81
101,crocodile,0.876,0.78
102,crocodile,0.8415,0.84
103,crocodile,0.7948,0.82
104,crocodile,0.8691,0.88
105,crocodile,0.7196,0.8
106,crocodile,0.7149,0.79
107,crocodile,0.8,0.8
108,crocodile,0.7304,0.8
109,crocodile,0.7072,0.81
110,crocodile,0.74,0.9
111,crocodile,0.6926,0.76
112,crocodile,0.8135,0.94
113,crocodile,0.7797,0.91
114,crocodile,0.8562,0.89
115,crocodile,0.8556,0.85
116,crocodile,0.8636,0.74
117,crocodile,0.9404,0.8
118,crocodile,0.9622,0.81
119,crocodile,0.9502,0.75
120,crocodile,0.9722,0.89
121,crocodile,0.9781,0.86
122,crocodile,0.9801,0.87
123,crocodile,0.9835,0.87
124,crocodile,0.991,0.84
125,crocodile,0.9877,0.76
126,crocodile,0.9888,0.89
127,crocodile,0.9894,0.81
128,crocodile,0.9922,0.84
129,crocodile,0.9903,0.85
130,crocodile,0.9903,0.88
131,crocodile,0.9866,0.83
132,crocodile,0.9887,0.89
133,crocodile,0.9881,0.79
134,crocodile,0.9908,0.88
135,crocodile,0.9866,0.86
136,crocodile,0.9831,0.85
137,crocodile,0.9888,0.87
138,crocodile,0.9905,0.77
139,crocodile,0.9929,0.9
140,crocodile,0.9954,0.83
141,crocodile,0.9926,0.85
